id,human_readable_id,description,weight,combined_degree,text_unit_ids,:START_ID,:END_ID,:TYPE
ba078c29-7634-436d-a654-e90c7d4d6a85,0,绿色办公建筑评价标准旨在通过节约资源来实现绿色建筑目标,8.0,36,['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'],13185afb-7dc0-449e-afce-c91b29274914,2df87740-07ac-45fa-b94f-d1198829c592,RELATED_TO
5707135e-5368-460d-81cc-3e9ec1a3e626,1,绿色办公建筑评价标准旨在通过保护环境来实现绿色建筑目标,8.0,41,['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'],13185afb-7dc0-449e-afce-c91b29274914,81219675-eeff-4e17-971f-63294d8ef770,RELATED_TO
1f5639e1-ff8d-4f41-afb1-4bbd4f3a973d,2,绿色办公建筑评价标准旨在通过可持续发展来实现绿色建筑目标,8.0,37,['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'],13185afb-7dc0-449e-afce-c91b29274914,3b7d9c84-9dfe-41ff-8b07-fef72f08fa19,RELATED_TO
00234dba-228d-45d6-a128-c4d047512e4f,3,绿色饭店建筑评价标准旨在通过保护环境来实现绿色建筑目标,8.0,24,['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'],81219675-eeff-4e17-971f-63294d8ef770,deee0aa3-f2bb-4d65-b356-a95ec7a4e0ef,RELATED_TO
6d3b6b31-49b8-4be4-b3ff-2526b34e7134,4,绿色饭店建筑评价标准旨在通过可持续发展来实现绿色建筑目标,8.0,20,['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'],3b7d9c84-9dfe-41ff-8b07-fef72f08fa19,deee0aa3-f2bb-4d65-b356-a95ec7a4e0ef,RELATED_TO
7225c419-d617-4b87-b071-ec191695424e,5,绿色办公建筑评价标准适用于政府办公建筑的绿色评价,27.0,42,['55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'],13185afb-7dc0-449e-afce-c91b29274914,b483c2bd-fca0-4553-aa6f-1c79f483a0bc,RELATED_TO
aae83926-8a70-4d56-93bd-8275d629d649,6,绿色办公建筑评价标准适用于商用办公建筑的绿色评价,27.0,42,['55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'],13185afb-7dc0-449e-afce-c91b29274914,8237bf01-2e1b-492d-9bc7-06d5e42b6740,RELATED_TO
3790efd9-5e7c-4567-9288-afa2c771d5e4,7,绿色办公建筑评价标准适用于科研办公建筑的绿色评价,27.0,42,['55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'],13185afb-7dc0-449e-afce-c91b29274914,ea7640db-89cd-4f16-9529-597b48cbbd15,RELATED_TO
69595697-746a-4a3d-8aed-2a6e33fad6b5,8,绿色办公建筑评价标准适用于综合办公建筑的绿色评价,27.0,56,['55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'],13185afb-7dc0-449e-afce-c91b29274914,20c117a2-4c6a-490a-a521-36bc261cdda0,RELATED_TO
78931634-ffaa-45aa-9305-a82580d3354e,9,绿色办公建筑评价标准适用于功能相近的其他办公建筑的绿色评价,27.0,42,['55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'],13185afb-7dc0-449e-afce-c91b29274914,93979e6f-04fe-45fe-ae47-53b39c29760f,RELATED_TO
