id,human_readable_id,description,weight,combined_degree,text_unit_ids,:START_ID,:END_ID,:TYPE
b7f41a42-b403-4bac-ba43-b60c82e0eb5c,0,约束规则 rule_5.4.3_01 来源于条款 5.4.3,108.0,17,"['d45dc5417ce3dee4c362284dab2d55bd7929914655a986312d51da4f8869ee6e2b11ba942d73626192f6ff3724f01906ca2f7d36c26a05bd3ddcbe99092f49b2', '415995e32c2ffeaab2ae80ac4704905e5d3663b4f10e54a79d942c76c3bd9d76f37df918e641c0517cb9aec5e41130874a1b9544d081029f1536afa6239e2d6d', 'fb1ae4d090e1e25975536b8bf87f50c25d59b0f30a439d8580bb8202d9ac2eec631ff8c0bec9964dfd41dae744b5ac4089746a08a8f3de59118e102623845700', '777957d5e6e1e8736199d0160900a808a10254c8fe558ccf32643b748d1831f103cd8db6cb3eca4e9574aeae9d12cd35b01cb6e6d16941faf591a58b75dbf800', 'c48e8320ef90dc2d42d68e6822601d51bdfbf3996f7216af6befd7225e0c509efe601002b119bc3091c0141cd01624e5c85217a0275c720476fcf7e0e2ba6618', '78d1d748499f4bc6545b8c32cad7972b7ca99088a9feddee4c445f16f7f24345b799d3ce29c724c97bb707b1b7abe34236b4f1b92b01e9c633ac1cce5c759d89']",e02ce236-31c4-49d9-a0c6-9e6c9d90faf3,261f6fb6-eaa1-4120-9b29-c939eb6d0ef2,RELATED_TO
c2f728b0-7ed3-482f-adea-1400ef98f3bc,1,条款 5.4.3 位于章节 5.4 照明系统下,9.0,8,['d45dc5417ce3dee4c362284dab2d55bd7929914655a986312d51da4f8869ee6e2b11ba942d73626192f6ff3724f01906ca2f7d36c26a05bd3ddcbe99092f49b2'],e02ce236-31c4-49d9-a0c6-9e6c9d90faf3,84154387-ef34-4cd5-9071-d33a6ab17e3f,RELATED_TO
5dd23f6e-6c1e-4398-b088-7b50464352fe,2,照明系统受约束规则 rule_5.4.3_01 限制，该规则建议采用高效节能控制方式,32.0,37,"['d45dc5417ce3dee4c362284dab2d55bd7929914655a986312d51da4f8869ee6e2b11ba942d73626192f6ff3724f01906ca2f7d36c26a05bd3ddcbe99092f49b2', '415995e32c2ffeaab2ae80ac4704905e5d3663b4f10e54a79d942c76c3bd9d76f37df918e641c0517cb9aec5e41130874a1b9544d081029f1536afa6239e2d6d']",28c82378-6c40-40e0-bc7a-977b3b5adfe0,261f6fb6-eaa1-4120-9b29-c939eb6d0ef2,RELATED_TO
a670ee03-476a-4ce7-a90c-6c9f004c11bc,3,照明系统包含设计控制方式这一属性，这表明设计控制方式是照明系统的一个关键组成部分。通过合理的设计控制方式，可以有效提升照明系统的能效表现，同时满足不同场景下的光照需求。设计控制方式通常包括但不限于手动控制、定时控制、感应控制等，旨在根据不同时间和空间的需求自动调整照明强度和模式，从而实现节能与舒适性的最佳平衡。此外，先进的设计控制方式还可以集成到建筑的智能化管理系统中，通过远程控制或预设程序进一步优化照明系统的运行效率。在具体实施过程中，考虑到节能与环境友好型设计的目标，设计者应选择合适的技术手段来实现对照明系统的精细化管理。,12.0,28,"['d45dc5417ce3dee4c362284dab2d55bd7929914655a986312d51da4f8869ee6e2b11ba942d73626192f6ff3724f01906ca2f7d36c26a05bd3ddcbe99092f49b2', '415995e32c2ffeaab2ae80ac4704905e5d3663b4f10e54a79d942c76c3bd9d76f37df918e641c0517cb9aec5e41130874a1b9544d081029f1536afa6239e2d6d']",28c82378-6c40-40e0-bc7a-977b3b5adfe0,0d4dec17-3f4e-4047-b14e-9f174f884d85,RELATED_TO
5666d121-5a1f-4eeb-a8ce-eae96706f969,4,设计控制方式在规则 rule_5.4.3_01 中被约束，建议采用高效节能控制方式,16.0,13,['d45dc5417ce3dee4c362284dab2d55bd7929914655a986312d51da4f8869ee6e2b11ba942d73626192f6ff3724f01906ca2f7d36c26a05bd3ddcbe99092f49b2'],0d4dec17-3f4e-4047-b14e-9f174f884d85,261f6fb6-eaa1-4120-9b29-c939eb6d0ef2,RELATED_TO
d6e4e1c5-8929-44aa-8d84-c5e5039cfe8d,5,场地规划涉及容积率这一重要评价指标,18.0,9,['d45dc5417ce3dee4c362284dab2d55bd7929914655a986312d51da4f8869ee6e2b11ba942d73626192f6ff3724f01906ca2f7d36c26a05bd3ddcbe99092f49b2'],3bf2455d-305f-44ef-bc57-dccfa8e6c23d,dffa3993-c542-4d27-83c7-3bf235f1f800,RELATED_TO
03c7224e-6830-4154-8866-723667631011,6,rule_4.2.1_01 约束的对象属性为容积率,32.0,11,"['d45dc5417ce3dee4c362284dab2d55bd7929914655a986312d51da4f8869ee6e2b11ba942d73626192f6ff3724f01906ca2f7d36c26a05bd3ddcbe99092f49b2', '415995e32c2ffeaab2ae80ac4704905e5d3663b4f10e54a79d942c76c3bd9d76f37df918e641c0517cb9aec5e41130874a1b9544d081029f1536afa6239e2d6d']",3bf2455d-305f-44ef-bc57-dccfa8e6c23d,8bbdc0b4-8060-4f9b-9c9c-9573df2effd6,RELATED_TO
aaa9c716-b968-457d-95c7-6f3214c6cd83,7,根据约束规则 RULE_4.2.1_05，建筑物附属广场的面积受到特定限制。这一规则旨在确保建筑物附属广场的设计和使用既符合城市规划要求，又能满足公众活动的需求。虽然当前信息主要集中在建筑物附属广场面积的约束上，但可以理解为该规则是综合考量了基地与总平面布局、交通组织及停车设施规划等因素后制定的。因此，建筑物附属广场不仅需要满足面积上的规定，还需考虑其在整体项目中的位置设置、可达性以及与周边环境的协调性等方面，以支持有效的交通流线设计和停车安排，同时保证良好的步行体验和视觉效果。对于无障碍设施的要求也应纳入考虑，确保所有人都能方便地使用广场空间。此外，在规划时还应考虑到节地原则，通过合理规划广场规模来减少对土地资源的占用。综上所述，建筑物附属广场的设计是在遵守RULE_4.2.1_05关于面积限制的前提下，综合考虑了基地利用效率、交通可达性、无障碍设计等多个方面的要求。,17.0,6,"['d45dc5417ce3dee4c362284dab2d55bd7929914655a986312d51da4f8869ee6e2b11ba942d73626192f6ff3724f01906ca2f7d36c26a05bd3ddcbe99092f49b2', '415995e32c2ffeaab2ae80ac4704905e5d3663b4f10e54a79d942c76c3bd9d76f37df918e641c0517cb9aec5e41130874a1b9544d081029f1536afa6239e2d6d']",5d59b63d-3015-429e-8f2f-b94476d6bf20,2c0268a5-ac95-4e10-b687-bab4ed80071d,RELATED_TO
d9bbaafb-0c74-43bd-9a12-86817f4e4155,8,场地规划涉及建筑物附属广场这一属性,2.0,9,['d45dc5417ce3dee4c362284dab2d55bd7929914655a986312d51da4f8869ee6e2b11ba942d73626192f6ff3724f01906ca2f7d36c26a05bd3ddcbe99092f49b2'],5d59b63d-3015-429e-8f2f-b94476d6bf20,dffa3993-c542-4d27-83c7-3bf235f1f800,RELATED_TO
afcf512a-9406-4fe9-815e-7e70222a0604,9,场地规划在24m以下多层建筑条件下，容积率应满足 rule_4.2.1_01 的要求,18.0,16,['d45dc5417ce3dee4c362284dab2d55bd7929914655a986312d51da4f8869ee6e2b11ba942d73626192f6ff3724f01906ca2f7d36c26a05bd3ddcbe99092f49b2'],8bbdc0b4-8060-4f9b-9c9c-9573df2effd6,dffa3993-c542-4d27-83c7-3bf235f1f800,RELATED_TO
